epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1450.74,0.71811,0.69721,1.05969,0.86921,0.88423,0.89113,0.71626,1.05224,0.88306,1.36052,0.0668828,0.000166418,0.000166418
2,2909.2,0.76274,0.73254,1.08522,0.86481,0.88064,0.89647,0.70395,1.05716,0.85811,1.38704,0.0337126,0.000329482,0.000329482
3,4362.18,0.78512,0.75457,1.10283,0.8495,0.88802,0.88766,0.70102,1.01297,0.82208,1.34761,0.000528116,0.000478364,0.000478364
4,5810.04,0.75636,0.72469,1.08957,0.86215,0.87924,0.89938,0.72038,1.00572,0.79532,1.34626,0.000452732,0.000452732,0.000452732
5,7256.46,0.73718,0.71311,1.07896,0.87081,0.88123,0.90986,0.7404,0.99639,0.83982,1.3296,0.00041811,0.00041811,0.00041811
6,8697.23,0.6375,0.61113,1.01217,0.87846,0.89198,0.91054,0.74168,1.00919,0.79402,1.34506,0.00037625,0.00037625,0.00037625
7,10135.9,0.60808,0.58455,0.99535,0.88809,0.89557,0.92101,0.75805,0.9621,0.79628,1.33291,0.000328982,0.000328982,0.000328982
8,11574.1,0.5763,0.56579,0.9741,0.89115,0.89885,0.91676,0.76803,0.90759,0.76397,1.29443,0.000278371,0.000278371,0.000278371
9,13013.1,0.5394,0.54074,0.95473,0.87462,0.90003,0.91129,0.76887,0.87885,0.74569,1.28148,0.000226629,0.000226629,0.000226629
10,14452,0.50951,0.51884,0.93884,0.91489,0.90233,0.92682,0.78857,0.8544,0.75605,1.28419,0.000176018,0.000176018,0.000176018
11,15890.7,0.48167,0.50199,0.92515,0.89956,0.90576,0.92446,0.79535,0.84366,0.73196,1.28741,0.00012875,0.00012875,0.00012875
12,17330.1,0.45763,0.48488,0.91091,0.90769,0.90519,0.93066,0.80467,0.81987,0.7282,1.25915,8.68902e-05,8.68902e-05,8.68902e-05
13,18768.7,0.43375,0.47245,0.90182,0.91581,0.90599,0.93108,0.80831,0.79362,0.71523,1.25809,5.22683e-05,5.22683e-05,5.22683e-05
14,20206.4,0.4181,0.45876,0.89604,0.91415,0.90858,0.93455,0.81535,0.78303,0.69407,1.24942,2.63975e-05,2.63975e-05,2.63975e-05
15,21647.6,0.40708,0.45087,0.89058,0.91127,0.90919,0.93502,0.81342,0.77792,0.69366,1.24587,1.04085e-05,1.04085e-05,1.04085e-05
