epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,437.878,2.13838,3.08985,2.06913,0.67047,0.381,0.4417,0.21599,1.99976,2.03268,1.95256,0.00332858,0.00332858,0.00332858
2,790.745,1.82167,1.84704,1.76031,0.58623,0.36617,0.44464,0.19894,2.09389,2.3247,1.95761,0.00666165,0.00666165,0.00666165
3,1142.81,1.8173,1.81974,1.73971,0.615,0.38448,0.42363,0.18152,2.1905,2.01566,2.0652,0.00999368,0.00999368,0.00999368
4,1492.76,1.84765,1.88637,1.78276,0.60602,0.4298,0.43036,0.19585,2.25275,2.49546,2.05972,0.00999648,0.00999648,0.00999648
5,1850.14,1.74413,1.72067,1.71183,0.63611,0.45142,0.50222,0.21849,2.08021,1.93465,2.03333,0.00999375,0.00999375,0.00999375
6,2199.56,1.62592,1.57488,1.63549,0.69253,0.43431,0.49378,0.2332,2.12814,1.92563,2.06453,0.00999023,0.00999023,0.00999023
7,2549.82,1.54977,1.45057,1.57883,0.73823,0.40915,0.53575,0.26864,2.08197,1.85506,2.04513,0.00998594,0.00998594,0.00998594
8,2899.39,1.47748,1.34947,1.536,0.57573,0.52162,0.50588,0.23595,2.11616,1.95315,2.00328,0.00998086,0.00998086,0.00998086
9,3250.78,1.40457,1.26805,1.48632,0.60938,0.51563,0.51723,0.27561,1.99108,2.02161,2.01016,0.00997501,0.00997501,0.00997501
10,3600.48,1.37267,1.20855,1.45979,0.7105,0.51909,0.57954,0.27914,2.07587,1.90708,1.97873,0.00996838,0.00996838,0.00996838
11,3953.01,1.3171,1.17002,1.42597,0.6441,0.5316,0.60364,0.31177,1.98649,1.67061,1.93363,0.00996097,0.00996097,0.00996097
12,4304.32,1.28138,1.11437,1.39768,0.65255,0.50828,0.57148,0.30187,1.95035,1.79514,1.92097,0.00995278,0.00995278,0.00995278
13,4655.69,1.25263,1.08093,1.37502,0.70988,0.54508,0.58962,0.31564,1.97905,1.78366,1.8998,0.00994383,0.00994383,0.00994383
14,5006.18,1.22804,1.04893,1.3606,0.69246,0.57036,0.62287,0.34176,1.8462,1.70632,1.83254,0.0099341,0.0099341,0.0099341
15,5357.26,1.17745,1.00054,1.33105,0.67454,0.57321,0.60614,0.3329,1.91378,1.70104,1.8928,0.00992359,0.00992359,0.00992359
16,5732.68,1.15571,0.98293,1.31488,0.62717,0.57835,0.62626,0.34165,1.92828,1.7307,1.92448,0.00991232,0.00991232,0.00991232
17,6084.48,1.14369,0.96453,1.30622,0.75131,0.58787,0.66871,0.38936,1.82455,1.54208,1.817,0.00990028,0.00990028,0.00990028
18,6434.65,1.11257,0.92894,1.28443,0.71672,0.55909,0.62665,0.34921,1.94976,1.78826,1.88031,0.00988748,0.00988748,0.00988748
19,6783.57,1.10141,0.91371,1.27872,0.69708,0.61181,0.70151,0.39637,1.82709,1.47733,1.84161,0.00987391,0.00987391,0.00987391
20,7131.04,1.07382,0.89114,1.26128,0.67383,0.6097,0.68427,0.38376,1.86276,1.43549,1.83653,0.00985958,0.00985958,0.00985958
21,7480.26,1.06183,0.87546,1.24843,0.743,0.60671,0.64903,0.36812,1.88508,1.65792,1.85487,0.00984449,0.00984449,0.00984449
22,7830.25,1.0477,0.86373,1.24575,0.72809,0.64025,0.67873,0.39852,1.8363,1.46533,1.86741,0.00982864,0.00982864,0.00982864
23,8181.44,1.0405,0.84941,1.23713,0.7017,0.6373,0.66668,0.40907,1.82007,1.78723,1.83558,0.00981204,0.00981204,0.00981204
24,8530.02,1.02929,0.83778,1.22569,0.65907,0.622,0.67497,0.40596,1.84382,1.62392,1.85824,0.00979468,0.00979468,0.00979468
25,8877.3,1.00775,0.81344,1.20858,0.68978,0.57499,0.65891,0.38353,1.80933,1.74046,1.81762,0.00977658,0.00977658,0.00977658
26,9224.92,0.99068,0.81004,1.20267,0.72593,0.59421,0.65177,0.39064,1.82632,1.61134,1.84562,0.00975773,0.00975773,0.00975773
27,9573,0.99719,0.8014,1.2043,0.71769,0.67088,0.69109,0.42718,1.72746,1.56278,1.74886,0.00973814,0.00973814,0.00973814
28,9921.49,0.96462,0.79121,1.19169,0.70489,0.63349,0.7093,0.43055,1.73328,1.44125,1.75926,0.0097178,0.0097178,0.0097178
29,10269.7,0.9599,0.7679,1.18479,0.68466,0.61905,0.68419,0.42802,1.7701,1.7566,1.76162,0.00969673,0.00969673,0.00969673
30,10618.9,0.94402,0.76576,1.17049,0.6892,0.67007,0.7203,0.45499,1.73332,1.54671,1.77124,0.00967493,0.00967493,0.00967493
31,10966.6,0.93735,0.75523,1.16885,0.69538,0.62288,0.6838,0.43332,1.74779,1.67225,1.73381,0.00965239,0.00965239,0.00965239
32,11313.7,0.92954,0.74552,1.15808,0.62298,0.644,0.66552,0.42748,1.69091,1.67648,1.72207,0.00962913,0.00962913,0.00962913
33,11661.1,0.91585,0.74181,1.1553,0.63936,0.68109,0.7162,0.44967,1.74342,1.56599,1.78585,0.00960515,0.00960515,0.00960515
34,12007.2,0.91484,0.74003,1.15539,0.76095,0.68575,0.71418,0.4599,1.68218,1.54256,1.74415,0.00958044,0.00958044,0.00958044
