epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.763,2.21794,3.1841,2.06481,0.48822,0.47577,0.40314,0.19969,2.05334,2.07133,1.82316,0.00332858,0.00332858,0.00332858
2,390.219,1.89508,2.00004,1.75696,0.49415,0.47458,0.50682,0.24209,1.99404,1.83038,1.82418,0.00666166,0.00666166,0.00666166
3,570.294,1.89668,1.93189,1.71786,0.53818,0.29952,0.36929,0.15516,2.25872,2.11908,1.91999,0.00999369,0.00999369,0.00999369
4,748.456,1.9125,1.96594,1.75906,0.31768,0.46991,0.32648,0.14383,2.15939,2.20502,1.96864,0.00999648,0.00999648,0.00999648
5,927.039,1.81717,1.80571,1.69206,0.57138,0.49737,0.51326,0.25198,2.04514,1.67188,1.90929,0.00999375,0.00999375,0.00999375
6,1105.71,1.71267,1.66053,1.617,0.63325,0.45646,0.5266,0.26099,2.01935,1.76,1.87613,0.00999023,0.00999023,0.00999023
7,1284.44,1.63839,1.54999,1.55566,0.63343,0.4853,0.5127,0.24667,2.06283,1.65831,1.8789,0.00998594,0.00998594,0.00998594
8,1465.26,1.57029,1.45369,1.50628,0.63252,0.52019,0.5039,0.24977,2.00846,1.6923,1.85649,0.00998086,0.00998086,0.00998086
9,1644.14,1.50585,1.37806,1.47158,0.69044,0.53191,0.58732,0.31052,1.91072,1.71231,1.82018,0.00997501,0.00997501,0.00997501
10,1822.25,1.46913,1.31923,1.44206,0.73902,0.49449,0.58947,0.30743,1.8821,1.85456,1.78204,0.00996838,0.00996838,0.00996838
11,1999.75,1.41918,1.26719,1.41241,0.76877,0.4559,0.573,0.27915,1.98858,1.74272,1.83818,0.00996097,0.00996097,0.00996097
12,2179.17,1.39394,1.2331,1.3836,0.87194,0.49179,0.63205,0.33626,1.92061,1.64144,1.7774,0.00995278,0.00995278,0.00995278
13,2357.4,1.34844,1.18558,1.35911,0.7265,0.50379,0.60138,0.32843,2.00045,1.66773,1.89008,0.00994383,0.00994383,0.00994383
14,2548.99,1.33336,1.15662,1.34966,0.7341,0.51533,0.64202,0.33765,1.88994,1.4857,1.77988,0.0099341,0.0099341,0.0099341
15,2749.5,1.30448,1.12536,1.32602,0.62717,0.60195,0.63678,0.34612,1.79827,1.52305,1.69081,0.00992359,0.00992359,0.00992359
16,2928.33,1.27952,1.09943,1.31355,0.54316,0.46881,0.63849,0.34728,1.83949,1.69452,1.71321,0.00991232,0.00991232,0.00991232
17,3107.28,1.25042,1.05417,1.28937,0.64914,0.53116,0.60541,0.33424,1.94463,1.85618,1.78196,0.00990028,0.00990028,0.00990028
18,3286.8,1.23475,1.03668,1.27892,0.71233,0.52588,0.65373,0.3639,1.85537,1.68354,1.76394,0.00988748,0.00988748,0.00988748
19,3464.24,1.20853,1.01083,1.26548,0.55658,0.60409,0.6003,0.30632,1.92677,1.59033,1.78306,0.00987391,0.00987391,0.00987391
20,3649.99,1.20182,1.00487,1.26078,0.71948,0.56737,0.67071,0.3459,1.98263,1.53197,1.8014,0.00985958,0.00985958,0.00985958
